config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
D26,SU+PF,30030,30,-7119.2,70.38,56.33,0.3062,0.6913,1.0
D26,SU+Random,30030,30,-11418.6,57.87,37.19,0.211,0.786,1.0
D26,SUS+PF,30031,21,-170.0,57.98,46.57,0.4358,0.562,3.862
D26,SUS+Random,30031,21,-1162.7,54.57,42.17,0.3982,0.5992,3.911
D26,SU+PF,30031,21,-446.0,55.14,46.52,0.4327,0.5651,1.0
D26,SU+Random,30031,21,-4418.9,42.85,28.8,0.2804,0.7172,1.0
D26,SUS+PF,30032,31,960.0,82.15,64.85,0.4614,0.5366,3.987
D26,SUS+Random,30032,31,-670.2,76.77,57.31,0.4128,0.5851,3.994
D26,SU+PF,30032,31,-1778.5,68.78,55.54,0.3973,0.6006,1.0
D26,SU+Random,30032,31,-6218.7,54.85,35.92,0.2675,0.7302,1.0
D26,SUS+PF,30033,23,6257.9,61.7,55.75,0.7729,0.2254,3.62
D26,SUS+Random,30033,23,5568.0,60.01,52.15,0.7293,0.2689,3.713
D26,SU+PF,30033,23,5496.0,58.02,53.25,0.737,0.2608,1.0
D26,SU+Random,30033,23,3429.3,52.33,43.06,0.6095,0.3887,1.0
D26,SUS+PF,30034,30,-2295.3,93.72,73.67,0.3945,0.6032,3.997
D26,SUS+Random,30034,30,-2409.0,93.45,72.81,0.3899,0.6077,3.999
D26,SU+PF,30034,30,-7453.7,69.73,55.37,0.3008,0.6968,1.0
D26,SU+Random,30034,30,-11289.0,59.16,37.9,0.2151,0.7822,1.0
D26,SUS+PF,30035,21,3892.5,50.95,46.24,0.6635,0.3361,3.401
D26,SUS+Random,30035,21,3475.4,49.72,44.45,0.6376,0.3619,3.543
D26,SU+PF,30035,21,3857.5,50.34,46.4,0.6639,0.3356,1.0
D26,SU+Random,30035,21,2046.4,45.3,37.73,0.5484,0.4509,1.0
D26,SUS+PF,30036,20,2354.0,37.6,34.21,0.6143,0.3848,3.15
D26,SUS+Random,30036,20,2210.7,37.15,33.56,0.6033,0.3959,3.232
D26,SU+PF,30036,20,2449.5,37.82,34.68,0.6217,0.378,1.0
D26,SU+Random,30036,20,1699.4,35.61,31.08,0.562,0.4375,1.0
D26,SUS+PF,30037,18,2380.7,70.27,64.68,0.5325,0.4655,3.682
D26,SUS+Random,30037,18,2228.9,69.58,64.02,0.5271,0.4707,3.767
D26,SU+PF,30037,18,209.4,61.99,55.79,0.4635,0.5337,1.0
D26,SU+Random,30037,18,-2125.1,54.98,44.57,0.3788,0.6179,1.0
D26,SUS+PF,30038,29,-9424.7,75.3,51.09,0.2617,0.7364,3.999
D26,SUS+Random,30038,29,-8754.2,79.25,52.1,0.2692,0.7286,4.0
D26,SU+PF,30038,29,-11315.5,61.09,46.8,0.2396,0.7584,1.0
D26,SU+Random,30038,29,-14894.4,52.72,30.08,0.1625,0.8352,1.0
D26,SUS+PF,30039,20,2234.2,37.21,31.68,0.5994,0.3985,3.503
D26,SUS+Random,30039,20,1966.8,36.22,30.56,0.5798,0.4184,3.567
D26,SU+PF,30039,20,2769.6,38.76,33.88,0.6416,0.3569,1.0
D26,SU+Random,30039,20,1311.3,34.22,27.28,0.5226,0.4747,1.0
