world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SU+PF,10007,3246.8461063160566,61.21531824587317,0.5947546531302876,0.4035532994923858,0.0,1.0,0.8033069332051662,0.9443496521853262,1.0501716398204384,0.047625,55.095944,7195,0,0,0,7619,0,0,0
betam,SU+Random,10000,-4889.3138502628035,45.27901879543981,0.31163782292450465,0.6822172059192375,0.0,1.0,0.5886778782426435,0.8850150396499863,1.0953979577563295,0.08575,38.6329,6473,0,0,0,7314,0,0,0
betam,SU+Random,10001,-3467.6462363890555,53.26356245006564,0.33579097141378866,0.658647005562023,0.0,1.0,0.7701031937703567,0.9145769076035939,1.0737716074588268,0.067875,39.711514,6820,0,0,0,7457,0,0,0
betam,SU+Random,10002,-1086.0097987842034,49.78576699295124,0.3990617923002265,0.5964089291491427,0.0,1.0,0.8142005722179991,0.9179823387744179,1.0711189379571933,0.06575,37.333288,6861,0,0,0,7474,0,0,0
betam,SU+Random,10003,-6063.589863203283,49.296201039978044,0.2754098360655738,0.7179156908665105,0.0,1.0,0.7024151593824887,0.9007293354943274,1.0817480011028398,0.0745,35.897818,6669,0,0,0,7404,0,0,0
betam,SU+Random,10004,-6662.09589833209,62.02791432535715,0.2917190066673109,0.7017103101748962,0.0,1.0,0.7914740375327457,0.9097259537882859,1.0758611262985238,0.0695,46.087234,6772,0,0,0,7444,0,0,0
betam,SU+Random,10005,3281.4448469521953,38.649190082889284,0.7119194543683014,0.28613186099382915,0.0,1.0,0.8861858677873776,0.9100957002291414,1.0786240786240786,0.07216108054027014,34.60752,6752,0,0,0,7419,0,0,0
betam,SU+Random,10006,883.9308901697601,38.76837080258838,0.5028887818969667,0.4930187770823303,0.00024073182474723158,1.0,0.7023572755059797,0.9035326086956522,1.0858286187387884,0.08,33.253902,6650,0,0,0,7360,0,0,0
betam,SU+Random,10007,-371.3052784909946,48.46327104381065,0.43147208121827413,0.5642978003384095,0.0,1.0,0.804593870620551,0.8959153209390691,1.086390696386543,0.078875,38.977966,6602,0,0,0,7369,0,0,0
betam,SU+MW,10000,2475.909320990141,72.61767731026991,0.5492851768246803,0.4473288186606471,0.0,1.0,0.5808574783806182,0.9415866333377187,1.0527361865641978,0.049875,70.144784,7157,0,0,0,7601,0,0,0
betam,SU+MW,10001,3156.006394116855,74.66235369671436,0.5621523735609882,0.4339671452593455,0.0,1.0,0.6835098021929606,0.9624516129032258,1.032429627707874,0.03125,70.262506,7459,0,0,0,7750,0,0,0
betam,SU+MW,10002,3881.8624784995377,66.19641725644931,0.6114526043351666,0.3846651569071498,0.0,1.0,0.7705583155093723,0.9549830861306271,1.0410296615706258,0.03925,60.930484,7340,0,0,0,7686,0,0,0
betam,SU+MW,10003,980.7932269597272,72.61528839453099,0.49098360655737705,0.503864168618267,0.0,1.0,0.6307017617734356,0.9465758805813801,1.0475939353988135,0.045375,67.800014,7229,0,0,0,7637,0,0,0
betam,SU+MW,10004,788.0118969068883,85.9815173810659,0.481205913614842,0.5138660740168132,0.0,1.0,0.6592231531517505,0.961960025789813,1.0318016614745587,0.030625,80.50244,7460,0,0,0,7755,0,0,0
betam,SU+MW,10005,4221.906208260707,41.74097766001448,0.7989607015264696,0.20006495615459566,0.0,1.0,0.889910529050959,0.9164195200862766,1.0774867688967296,0.07147327575416197,39.357854,6798,0,0,0,7418,0,0,0
betam,SU+MW,10006,3071.9438972017642,46.35508035655809,0.6437168993740973,0.3538757823784304,0.0,1.0,0.7521738653841664,0.947327146778199,1.045939186520995,0.043625,43.126746,7248,0,0,0,7651,0,0,0
betam,SU+MW,10007,4555.198309868865,64.68629556585371,0.651269035532995,0.34670050761421317,0.0,1.0,0.7641323324333461,0.9360073888375775,1.0560212907518296,0.052625,61.30942,7094,0,0,0,7579,0,0,0
betam,SU+EDF,10000,-12039.576124174459,15.362917038110004,0.09769250062703787,0.8950338600451467,0.0,1.0,0.4822710209529199,0.8341139734582358,1.04627287606011,0.03925,12.132592,6411,0,0,0,7686,0,0,0
betam,SU+EDF,10001,-7427.3462596576655,31.181876344604955,0.2160134523347562,0.7779071271504333,0.0,1.0,0.6691029575280847,0.878550314869554,1.0309044513751062,0.027375,26.268158,6836,0,0,0,7781,0,0,0
betam,SU+EDF,10002,-5095.732925557202,27.796155405101338,0.244257521837593,0.7499191200258816,0.0,1.0,0.7341401564925757,0.8894716643213509,1.0255080588647512,0.022875,23.3892,6953,0,0,0,7817,0,0,0
betam,SU+EDF,10003,-9282.785390936946,30.38999176424904,0.18747072599531617,0.8052693208430913,0.0,1.0,0.5619792551798001,0.8771862139917695,1.0313831297926725,0.028,25.321356,6821,0,0,0,7776,0,0,0
betam,SU+EDF,10004,-9529.889618293057,42.515081952881935,0.2254324089283989,0.7676103971398203,0.0,1.0,0.5838349816434831,0.8947368421052632,1.02397212543554,0.0215,36.44919,7004,0,0,0,7828,0,0,0
betam,SU+EDF,10005,1814.1219692501616,30.434763654663396,0.5654433257551152,0.42773627801234165,0.0,1.0,0.9153855123202326,0.9012813807531381,1.0485852311939268,0.044,27.296598,6893,0,0,0,7648,0,0,0
betam,SU+EDF,10006,-3054.380787303739,20.958568059919447,0.2628791526239769,0.7308618199325951,0.0,1.0,0.6484908033818357,0.8769990898452737,1.0431572969903464,0.038625,17.361146,6745,0,0,0,7691,0,0,0
betam,SU+EDF,10007,-5003.56630664208,26.674046963540825,0.23824027072758036,0.7563451776649747,0.0,1.0,0.8191076184903818,0.8623924941360438,1.0464378425151428,0.04075,21.758472,6618,0,0,0,7674,0,0,0
